---------------- SUMMARY ----------------
Model Name                               | Logprobs Support
------------------------------------------------------------
gemini-2.0-flash                         | ✅ YES
gemini-2.0-flash-001                     | ✅ YES
gemini-2.0-flash-exp                     | ✅ YES
gemini-2.0-flash-exp-image-generation    | ✅ YES
gemini-2.0-flash-lite                    | ✅ YES
gemini-2.0-flash-lite-001                | ✅ YES
gemini-2.0-flash-lite-preview            | ✅ YES
gemini-2.0-flash-lite-preview-02-05      | ✅ YES
gemini-2.5-computer-use-preview-10-2025  | ❌ NO
gemini-2.5-flash                         | ❌ NO
gemini-2.5-flash-image                   | ❌ NO
gemini-2.5-flash-image-preview           | ❌ NO
gemini-2.5-flash-lite                    | ❌ NO
gemini-2.5-flash-lite-preview-09-2025    | ❌ NO
gemini-2.5-flash-preview-09-2025         | ❌ NO
gemini-2.5-flash-preview-tts             | ❌ NO
gemini-2.5-pro                           | ❌ NO
gemini-2.5-pro-preview-tts               | ❌ NO
gemini-3-pro-image-preview               | ❌ NO
gemini-3-pro-preview                     | ❌ NO
gemini-exp-1206                          | ❌ NO
gemini-flash-latest                      | ❌ NO
gemini-flash-lite-latest                 | ❌ NO
gemini-pro-latest                        | ❌ NO
gemini-robotics-er-1.5-preview           | ❌ NO


---------------- OPENAI MODELS ----------------
Model Name                              | Logprobs Support
-----------------------------------------------------------
chatgpt-4o-latest                       | ✅ YES
gpt-3.5-turbo                           | ✅ YES
gpt-3.5-turbo-0125                      | ✅ YES
gpt-3.5-turbo-1106                      | ✅ YES
gpt-3.5-turbo-16k                       | ✅ YES
gpt-3.5-turbo-instruct                  | ❌ NO
gpt-3.5-turbo-instruct-0914             | ❌ NO
gpt-4                                   | ✅ YES
gpt-4-0125-preview                      | ✅ YES
gpt-4-0613                              | ✅ YES
gpt-4-1106-preview                      | ✅ YES
gpt-4-turbo                             | ✅ YES
gpt-4-turbo-2024-04-09                  | ✅ YES
gpt-4-turbo-preview                     | ✅ YES
gpt-4.1                                 | ✅ YES
gpt-4.1-2025-04-14                      | ✅ YES
gpt-4.1-mini                            | ✅ YES
gpt-4.1-mini-2025-04-14                 | ✅ YES
gpt-4.1-nano                            | ✅ YES
gpt-4.1-nano-2025-04-14                 | ✅ YES
gpt-4o                                  | ✅ YES
gpt-4o-2024-05-13                       | ✅ YES
gpt-4o-2024-08-06                       | ✅ YES
gpt-4o-2024-11-20                       | ✅ YES
gpt-4o-audio-preview                    | ❌ NO
gpt-4o-audio-preview-2024-12-17         | ❌ NO
gpt-4o-audio-preview-2025-06-03         | ❌ NO
gpt-4o-mini                             | ✅ YES
gpt-4o-mini-2024-07-18                  | ✅ YES
gpt-4o-mini-audio-preview               | ❌ NO
gpt-4o-mini-audio-preview-2024-12-17    | ❌ NO
gpt-4o-mini-realtime-preview            | ❌ NO
gpt-4o-mini-realtime-preview-2024-12-17 | ❌ NO
gpt-4o-mini-search-preview              | ❌ NO
gpt-4o-mini-search-preview-2025-03-11   | ❌ NO
gpt-4o-mini-transcribe                  | ❌ NO
gpt-4o-mini-tts                         | ❌ NO
gpt-4o-realtime-preview                 | ❌ NO
gpt-4o-realtime-preview-2024-12-17      | ❌ NO
gpt-4o-realtime-preview-2025-06-03      | ❌ NO
gpt-4o-search-preview                   | ❌ NO
gpt-4o-search-preview-2025-03-11        | ❌ NO
gpt-4o-transcribe                       | ❌ NO
gpt-4o-transcribe-diarize               | ❌ NO
gpt-5                                   | ❌ NO
gpt-5-2025-08-07                        | ❌ NO
gpt-5-chat-latest                       | ❌ NO
gpt-5-codex                             | ❌ NO
gpt-5-mini                              | ❌ NO
gpt-5-mini-2025-08-07                   | ❌ NO
gpt-5-nano                              | ❌ NO
gpt-5-nano-2025-08-07                   | ❌ NO
gpt-5-pro                               | ❌ NO
gpt-5-pro-2025-10-06                    | ❌ NO
gpt-5-search-api                        | ❌ NO
gpt-5-search-api-2025-10-14             | ❌ NO
gpt-5.1                                 | ❌ NO
gpt-5.1-2025-11-13                      | ❌ NO
gpt-5.1-chat-latest                     | ❌ NO
gpt-5.1-codex                           | ❌ NO
gpt-5.1-codex-max                       | ❌ NO
gpt-5.1-codex-mini                      | ❌ NO
gpt-audio                               | ❌ NO
gpt-audio-2025-08-28                    | ❌ NO
gpt-audio-mini                          | ❌ NO
gpt-audio-mini-2025-10-06               | ❌ NO
gpt-image-1                             | ❌ NO
gpt-image-1-mini                        | ❌ NO
gpt-realtime                            | ❌ NO
gpt-realtime-2025-08-28                 | ❌ NO
gpt-realtime-mini                       | ❌ NO
gpt-realtime-mini-2025-10-06            | ❌ NO
o1                                      | ❌ NO
o1-2024-12-17                           | ❌ NO
o1-pro                                  | ❌ NO
o1-pro-2025-03-19                       | ❌ NO
